,수상등급,분야,연도,직위,소속
0,장려상,산업 및 에너지,2021,학생,서울과학고등학교
1,장려상,산업 및 에너지,2021,학생,미림여자고등학교
2,장려상,산업 및 에너지,2021,학생,휘문중학교
3,장려상,산업 및 에너지,2021,학생,휘문중학교
4,장려상,산업 및 에너지,2021,학생,신서중학교
5,장려상,산업 및 에너지,2021,학생,상명중학교
6,장려상,산업 및 에너지,2021,학생,불암중학교
7,장려상,산업 및 에너지,2021,학생,동도중학교
8,장려상,산업 및 에너지,2021,학생,서울신미림초등학교
9,장려상,지구 및 환경,2021,학생,대진여자고등학교
10,장려상,지구 및 환경,2021,학생,을지중학교
11,장려상,지구 및 환경,2021,학생,동양중학교
12,장려상,지구 및 환경,2021,학생,태강삼육초등학교
13,장려상,지구 및 환경,2021,학생,금성초등학교
14,장려상,생물,2021,학생,덕원여자고등학교
15,장려상,생물,2021,학생,진선여자중학교
16,장려상,생물,2021,학생,장승중학교
17,장려상,생물,2021,학생,길음중학교
18,장려상,생물,2021,학생,가원중학교
19,장려상,생물,2021,학생,서울잠신초등학교
20,장려상,생물,2021,학생,서울압구정초등학교
21,장려상,생물,2021,학생,서울개운초등학교
22,장려상,화학,2021,학생,세종과학고등학교
23,장려상,화학,2021,학생,배재고등학교
24,장려상,화학,2021,학생,전일중학교
25,장려상,화학,2021,학생,잠실중학교
26,장려상,화학,2021,학생,윤중중학교
27,장려상,화학,2021,학생,금옥중학교
28,장려상,화학,2021,학생,서울역촌초등학교
29,장려상,화학,2021,학생,서울상지초등학교
30,장려상,화학,2021,학생,서울목동초등학교
31,장려상,화학,2021,학생,서울대명초등학교
32,장려상,물리,2021,학생,세종과학고등학교
33,장려상,물리,2021,학생,세종과학고등학교
34,장려상,물리,2021,학생,서울대성고등학교
35,장려상,물리,2021,학생,배재고등학교
36,장려상,물리,2021,학생,대왕중학교
37,장려상,물리,2021,학생,청원초등학교
38,장려상,물리,2021,학생,서울이문초등학교
39,장려상,물리,2021,학생,서울상지초등학교
40,장려상,물리,2021,학생,서울대현초등학교
41,우수상,산업 및 에너지,2021,학생,한성과학고등학교
42,우수상,산업 및 에너지,2021,학생,한성과학고등학교
43,우수상,산업 및 에너지,2021,학생,반포고등학교
44,우수상,산업 및 에너지,2021,학생,신도림중학교
45,우수상,산업 및 에너지,2021,학생,방배중학교
46,우수상,산업 및 에너지,2021,학생,목일중학교
47,우수상,산업 및 에너지,2021,학생,한양초등학교
48,우수상,산업 및 에너지,2021,학생,청원초등학교
